time,seconds_elapsed,y,z,x,longitude,latitude
1.72E+18,143.276199,0.882499993,8.779999733,0.928749979,90.36807523,23.73144375
1.72E+18,143.2864531,1.112499952,8.130000114,1.081249952,90.36807523,23.73144375
1.72E+18,143.296707,1.264999986,7.59499979,1.043749928,90.36807523,23.73144375
1.72E+18,143.3069609,1.379999995,6.868749619,0.776250005,90.36807523,23.73144375
1.72E+18,143.3172151,1.379999995,6.754999638,0.584999979,90.36807523,23.73144375
1.72E+18,143.327469,1.379999995,6.754999638,0.393749982,90.36807523,23.73144375
1.72E+18,143.3377229,1.341249943,6.983749866,0.354999989,90.36807523,23.73144375
1.72E+18,143.3479761,1.456249952,7.518749714,0.393749982,90.36807523,23.73144375
1.72E+18,143.35823,1.532499909,7.747499943,0.469999999,90.36807523,23.73144375
1.72E+18,143.3684839,1.456249952,7.977499962,0.508749962,90.36807523,23.73144375
1.72E+18,143.378738,1.493749976,8.359999657,0.469999999,90.36807523,23.73144375
1.72E+18,143.3889922,1.456249952,8.436249733,0.393749982,90.36807523,23.73144375
1.72E+18,143.3992458,1.569999933,8.588749886,0.393749982,90.36807523,23.73144375
1.72E+18,143.4095,1.684999943,8.62749958,0.508749962,90.36807523,23.73144375
1.72E+18,143.4197542,1.761250019,8.97124958,0.508749962,90.36807523,23.73144375
1.72E+18,143.4300081,1.647499919,9.238749504,0.317499995,90.36807523,23.73144375
1.72E+18,143.440262,1.569999933,9.467499733,0.126249999,90.36807523,23.73144375
1.72E+18,143.4505161,1.608749986,9.926249504,-0.179999992,90.36807523,23.73144375
1.72E+18,143.4607688,1.647499919,9.965000153,-0.217500001,90.36807523,23.73144375
1.72E+18,143.4710229,1.684999943,9.926249504,-0.371250004,90.36807523,23.73144375
1.72E+18,143.4812771,1.761250019,10.04125023,-0.44749999,90.36807523,23.73144375
1.72E+18,143.4915308,1.684999943,10.68999958,-0.293749988,90.36807523,23.73144375
1.72E+18,143.5017849,1.532499909,11.1875,-0.371250004,90.36807523,23.73144375
1.72E+18,143.5120391,1.264999986,11.83624935,-0.714999974,90.36807523,23.73144375
1.72E+18,143.5222932,0.767499983,13.17374992,-1.058750033,90.36807523,23.73144375
1.72E+18,143.5325469,0.5,13.32749939,-1.363749981,90.36807523,23.73144375
1.72E+18,143.542801,0.310000002,13.67124939,-1.47874999,90.36807523,23.73144375
1.72E+18,143.5530552,0.15625,13.25124931,-1.439999938,90.36807523,23.73144375
1.72E+18,143.5633079,0.844999969,12.25749969,-1.59375,90.36807523,23.73144375
1.72E+18,143.573562,1.264999986,11.49249935,-1.554999948,90.36807523,23.73144375
1.72E+18,143.5838162,1.647499919,10.57625008,-1.287500024,90.36807523,23.73144375
1.72E+18,143.5940698,2.105000019,9.085000038,-0.484999985,90.36807523,23.73144375
1.72E+18,143.604324,2.335000038,8.817500114,0.126249999,90.36807523,23.73144375
1.72E+18,143.6145781,2.220000029,9.391249657,0.737500012,90.36807523,23.73144375
1.72E+18,143.624832,1.112499952,12.44874954,0.546249986,90.36807523,23.73144375
1.72E+18,143.6350859,0.386249989,13.86249924,0.126249999,90.36807523,23.73144375
1.72E+18,143.6453401,-0.148749992,14.70249939,-0.599999964,90.36807523,23.73144375
1.72E+18,143.655594,-0.569999993,15.16125011,-1.058750033,90.36807523,23.73144375
1.72E+18,143.6658479,-0.75999999,14.70249939,-1.096249938,90.36807523,23.73144375
1.72E+18,143.6761011,-0.41624999,13.82374954,-0.90625,90.36807523,23.73144375
1.72E+18,143.686355,0.194999993,12.75374985,-0.79124999,90.36807523,23.73144375
1.72E+18,143.6966089,0.653750002,11.11124992,-0.371250004,90.36807523,23.73144375
1.72E+18,143.706863,0.806249976,10.65250015,-0.217500001,90.36807523,23.73144375
1.72E+18,143.7171169,0.729999959,10.53749943,-0.256249994,90.36807523,23.73144375
