,time,x,y,z,Latitude,Longitude
205,2.05045625,-0.388300002,3.838399887,0.31129998,23.7659205,90.3561994
206,2.060464063,0.313999981,1.546000004,-1.398199916,23.7659374,90.356193
207,2.070454688,0.705299974,-0.129500002,-1.396099925,23.7659224,90.3561943
208,2.080453125,0.526199996,-0.969999969,-0.464599997,23.7659169,90.3562135
209,2.090451563,-0.0898,-0.983899951,-0.615700007,23.7659279,90.3562111
210,2.100454688,-0.734699965,-1.038100004,-2.360599995,23.7659184,90.3562238
211,2.110464063,-0.819299996,-1.176800013,-2.894299984,23.7659294,90.3562369
212,2.120454688,-0.665300012,-0.591699958,-1.478899956,23.7659181,90.356255
213,2.130451563,-0.987899959,0.714899957,0.852799952,23.7659681,90.3567452
214,2.140453125,-1.067700028,1.591399908,2.074599981,23.7659528,90.3567811
215,2.150496875,-0.806499958,2.161999941,3.096899986,23.7659479,90.3568133
216,2.160464063,-1.021499991,3.215299845,3.820899963,23.7659577,90.356827
217,2.170454688,-1.822999954,4.186399937,3.471099854,23.7659555,90.3568438
218,2.180454688,-2.042000055,4.630000114,1.87559998,23.7659552,90.3568599
219,2.190454688,-0.879099965,4.537399769,-0.261799991,23.7659555,90.3569045
220,2.20049375,0.318800002,4.210700035,-1.362999916,23.7659656,90.3569534
221,2.21045625,1.204999924,4.065199852,-1.522199988,23.7659463,90.3570037
222,2.220454688,1.777899981,3.961099863,-1.021000028,23.7674508,90.3519182
223,2.230453125,2.287699938,3.369299889,-0.829099953,23.7673492,90.351935
224,2.240496875,2.886799812,1.909999967,-0.223799989,23.7673596,90.351938
225,2.250453125,3.395599842,0.65899998,-0.074999996,23.7673081,90.3519534
226,2.260454688,3.916099787,0.370700002,-0.792899966,23.7672608,90.3519652
227,2.270451563,3.827199936,0.874799967,-1.657899976,23.7672249,90.3519792
228,2.280495313,2.64839983,1.484200001,-1.324000001,23.7671967,90.351986
229,2.290451563,1.881799936,1.461899996,0.012399999,23.7671906,90.3519933
230,2.300454688,1.692099929,0.372799993,1.51669991,23.7671976,90.3520577
231,2.310503125,1.393700004,-1.015599966,2.181699991,23.7672019,90.3520748
232,2.320453125,0.425599992,-1.762699962,1.341399908,23.7672124,90.3521204
233,2.330453125,0.105799995,-2.027499914,-1.304799914,23.7672228,90.3521563
234,2.340454688,-0.367699981,-1.62229991,-4.908499718,23.7672191,90.3521596
235,2.350496875,-1.64139998,-0.827099979,-7.646199703,23.7672259,90.3522046
236,2.360459375,-2.540299892,-0.438899994,-8.506999969,23.7672538,90.352333
237,2.370454688,-2.270099878,-1.190899968,-6.759999752,23.7672685,90.3523906
238,2.380454688,-0.849299967,-2.086600065,-2.599099874,23.7672835,90.3524493
239,2.390496875,0.337799996,-2.523099899,1.190299988,23.7672845,90.3524936
